Address,formatted_address,Lat,Lon
15TH ST AND CHURCH ST, NW washington dc,Church St NW &amp; 15th St NW. Washington. DC 20005. USA,38.9103911,-77.03455
6TH ST AND G ST, NE washington dc,G St NE &amp; 6th St NE. Washington. DC 20002. USA,38.898916,-76.9984416
9TH ST AND H ST, NW washington dc,H St NW &amp; 9th St NW. Washington. DC 20001. USA,38.8998011,-77.02397710000001
ELLIOTT ST AND G ST, NE washington dc,Elliott St NE &amp; G St NE. Washington. DC 20002. USA,38.8988938,-76.9865688
3RD ST AND MASSACHUSETTS AVE, NE washington dc,3rd St NE &amp; Massachusetts Ave NE. Washington. DC 20002. USA,38.894606,-77.00203599999999
14TH ST AND V ST, NW washington dc,V St NW &amp; 14th St NW. Washington. DC 20009. USA,38.9181132,-77.0319544
2ND ST AND MASSACHUSETTS AVE, NE washington dc,2nd St NE &amp; Massachusetts Ave NE. Washington. DC 20002. USA,38.8952014,-77.0035114
1ST ST AND E ST, NW washington dc,E St NW &amp; 1st St NW. Washington. DC 20001. USA,38.8961245,-77.0121686
17TH ST AND P ST, NW washington dc,P St NW &amp; 17th St NW. Washington. DC 20036. USA,38.909644,-77.0384911
17TH ST AND P ST, NW washington dc,P St NW &amp; 17th St NW. Washington. DC 20036. USA,38.909644,-77.0384911
28TH ST AND M ST, NW washington dc,28th St NW &amp; M St NW. Washington. DC 20007. USA,38.9052545,-77.0570235
10TH ST AND K ST, NE washington dc,10th St NE &amp; K St NE. Washington. DC 20002. USA,38.902511,-76.992643
14TH ST AND T ST, NW washington dc,T St NW &amp; 14th St NW. Washington. DC 20009. USA,38.9155746,-77.0319624
17TH ST AND R ST, NW washington dc,R St NW &amp; 17th St NW. Washington. DC 20009. USA,38.9126025,-77.0384746
18TH ST AND S ST, NW washington dc,18th St NW. Washington. DC. USA,38.9201407,-77.0418378
7TH ST AND C ST, SE washington dc,7th St SE &amp; C St SE. Washington. DC 20003. USA,38.8860377,-76.9961702
15TH ST AND MASSACHUSETTS AVE, NW washington dc,15th St NW &amp; Massachusetts Ave NW. Washington. DC 20005. USA,38.9065186,-77.0345597
15TH ST AND P ST, NW washington dc,15th St NW &amp; P St NW. Washington. DC 20005. USA,38.9096506,-77.0345573
15TH ST AND T ST, NW washington dc,T St NW &amp; 15th St NW. Washington. DC 20009. USA,38.9155777,-77.034537
17TH ST AND M ST, NE washington dc,M St NE &amp; 17th St NE. Washington. DC 20002. USA,38.905629,-76.978988
