Address,formatted_address,Lat,Lon
17TH ST AND L ST, NW washington dc,L St NW &amp; 17th St NW. Washington. DC 20036. USA,38.90372869999999,-77.0385064
10TH ST AND MASSACHUSETTS AVE, NW washington dc,10th St NW &amp; Massachusetts Ave NW. Washington. DC 20001. USA,38.9035776,-77.0259927
9TH ST AND T ST, NW washington dc,T St NW &amp; 9th St NW. Washington. DC 20001. USA,38.9155775,-77.02396089999999
11TH ST AND CONSTITUTION AVE, NE washington dc,11th St NE &amp; Constitution Ave NE. Washington. DC 20002. USA,38.892014,-76.99153299999999
17TH ST AND P ST, NW washington dc,P St NW &amp; 17th St NW. Washington. DC 20036. USA,38.909644,-77.0384911
17TH ST AND P ST, NW washington dc,P St NW &amp; 17th St NW. Washington. DC 20036. USA,38.909644,-77.0384911
17TH ST AND Q ST, NW washington dc,Q St NW &amp; 17th St NW. Washington. DC 20036. USA,38.911116,-77.03849029999999
17TH ST AND Q ST, NW washington dc,Q St NW &amp; 17th St NW. Washington. DC 20036. USA,38.911116,-77.03849029999999
15TH ST AND O ST, NW washington dc,O St NW &amp; 15th St NW. Washington. DC 20005. USA,38.9087014,-77.0345566
2ND ST AND K ST, NE washington dc,2nd St SE &amp; K St SE. Washington. DC 20003. USA,38.878408,-77.003519
15TH ST AND R ST, NW washington dc,15th St NW &amp; R St NW. Washington. DC 20009. USA,38.9126048,-77.0345334
15TH ST AND RHODE ISLAND AVE, NW washington dc,15th St NW &amp; Rhode Island Ave NW. Washington. DC 20005. USA,38.9079272,-77.03455989999999
14TH ST AND T ST, NW washington dc,T St NW &amp; 14th St NW. Washington. DC 20009. USA,38.9155746,-77.0319624
14TH ST AND R ST, NW washington dc,R St NW &amp; 14th St NW. Washington. DC 20009. USA,38.9126061,-77.0319494
11TH ST AND M ST, NW washington dc,11th St NW &amp; M St NW. Washington. DC 20005. USA,38.905637,-77.027041
15TH ST AND CHURCH ST, NW washington dc,Church St NW &amp; 15th St NW. Washington. DC 20005. USA,38.9103911,-77.03455
17TH ST AND Q ST, NW washington dc,Q St NW &amp; 17th St NW. Washington. DC 20036. USA,38.911116,-77.03849029999999
CONNECTICUT AVE AND K ST, NW washington dc,K St NW &amp; Connecticut Ave NW. Washington. DC 20036. USA,38.9025266,-77.0393836
COLUMBIA RD AND QUARRY RD, NW washington dc,Quarry Rd NW &amp; Columbia Rd NW. Washington. DC 20009. USA,38.9253616,-77.0384435
17TH ST AND K ST, NW washington dc,17th St NW &amp; K St NW. Washington. DC 20036. USA,38.9025266,-77.0395111
5TH ST AND K ST, NW washington dc,5th St NW &amp; K St NW. Washington. DC 20001. USA,38.9025277,-77.0189305
